sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
786,per_sample_zscore,concat,mlp,local_value_abs,1.0,11,11,426.1032409667969,3.5191290378570557
787,per_sample_zscore,concat,mlp,local_value_abs,0.9090909090909091,10,11,5241.31689453125,7.368895530700684
788,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,89.46265411376953,1.463873267173767
789,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,553.0517578125,3.736095428466797
790,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,4,19960.99609375,20.062564849853516
791,per_sample_zscore,concat,mlp,local_value_abs,1.0,11,11,77.0956802368164,1.2442775964736938
792,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,641.1275024414062,3.6668853759765625
793,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,104.13624572753906,1.652794361114502
794,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,40.54445266723633,0.6770757436752319
795,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,8,39923.33203125,40.15231704711914
796,per_sample_zscore,concat,mlp,local_value_abs,1.0,13,13,792.7682495117188,5.110103130340576
797,per_sample_zscore,concat,mlp,local_value_abs,1.0,2,2,3.057288646697998,0.20956264436244965
798,per_sample_zscore,concat,mlp,local_value_abs,1.0,10,10,137.59249877929688,1.863505244255066
