seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin,polygon_component_present
2026,174,sample_175,val,rotated_rect+polygon,0.6,0.6656050955414012,0.7992351816443595,0.03136762860727729,3.091967124239519,772,797,0,0.12233171612024307,0.21861398220062256,0.34094569087028503,2.3777706738215742e-26,0.9999358654022217,0.09891800582408905,2,2,0,1,0,0,0,0.5272020725388601,0.4727979274611399,1.0,multi_defect_pilot_gate_only,0.028011426240018556,far,797,large,yes
2026,175,sample_176,val,rectangular_notch+rectangular_notch,0.6,0.5431034482758621,0.7039106145251397,0.04103967168262654,11.943537090722488,701,731,0,0.2075626254081726,0.301206111907959,0.5087687373161316,3.021998229208971e-39,0.999998927116394,0.0891091525554657,2,2,0,1,0,0,0,0.5121255349500713,0.48787446504992865,1.0,multi_defect_pilot_gate_only,0.030066592756745815,far,731,medium,no
2026,176,sample_177,val,rectangular_notch+rotated_rect,0.6,0.667601683029453,0.80067283431455,0.12701252236135957,2.921610401053505,630,559,0,0.0835404247045517,0.2246062159538269,0.3081466555595398,1.2572568203616525e-36,0.9998660087585449,0.07995977997779846,2,2,0,1,0,0,0,0.5666666666666667,0.43333333333333335,1.0,multi_defect_pilot_gate_only,0.030010664771044308,far,559,small,no
2026,177,sample_178,val,rotated_rect+rotated_rect,0.6,0.5355504587155964,0.6975354742345033,0.20989304812834225,9.714263256503617,591,748,0,0.16446509957313538,0.3069711923599243,0.4714362919330597,2.77407741531777e-35,0.9996134638786316,0.07612857222557068,2,2,0,1,0,0,0,0.560067681895093,0.43993231810490696,1.0,multi_defect_pilot_gate_only,0.030066592756745815,far,748,medium,no
2026,178,sample_179,val,rectangular_notch+polygon,0.6,0.6343283582089553,0.776255707762557,0.1440677966101695,0.4215236514697344,707,826,0,0.11374983191490173,0.2517856955528259,0.36553552746772766,1.238376923197422e-24,0.9998642206192017,0.09360428899526596,2,2,0,1,0,0,0,0.5855728429985856,0.4144271570014144,1.0,multi_defect_pilot_gate_only,0.030010664771044308,far,826,large,yes
2026,179,sample_180,val,rotated_rect+polygon,0.6,0.6105371900826446,0.7581783194355356,0.04862023653088042,4.118633739624901,798,761,0,0.14189966022968292,0.26287841796875,0.40477806329727173,3.139506421788048e-23,0.9999576807022095,0.10320046544075012,2,2,0,1,0,0,0,0.6115288220551378,0.38847117794486213,1.0,multi_defect_pilot_gate_only,0.030066592756745815,far,761,medium,yes
2026,180,sample_181,val,rectangular_notch+rectangular_notch,0.6,0.7329910141206675,0.845925925925926,0.03313253012048193,3.3781028451306723,686,664,0,0.06396318972110748,0.18801748752593994,0.25198066234588623,0.0,0.999702513217926,0.08940614759922028,2,2,0,1,0,0,0,0.5364431486880467,0.46355685131195334,1.0,multi_defect_pilot_gate_only,0.020015993605114885,near,664,medium,no
2026,181,sample_182,val,rectangular_notch+rotated_rect,0.6,0.6216494845360825,0.7666878575969485,0.15158636897767333,4.113192482378212,722,851,0,0.140677809715271,0.25960659980773926,0.40028440952301025,0.0,0.9993383288383484,0.09308513253927231,2,2,0,1,0,0,0,0.5152354570637119,0.48476454293628807,1.0,multi_defect_pilot_gate_only,0.02009975124224178,near,851,large,no
2026,182,sample_183,val,rotated_rect+rotated_rect,0.6,0.603448275862069,0.7526881720430108,0.08653846153846154,2.7306115557989274,678,624,0,0.11251449584960938,0.25824570655822754,0.3707602024078369,0.0,0.9999788999557495,0.08643384277820587,2,2,0,1,0,0,0,0.6342182890855457,0.36578171091445427,1.0,multi_defect_pilot_gate_only,0.020015993605114885,near,624,small,no
2026,183,sample_184,val,rectangular_notch+polygon,0.6,0.4749262536873156,0.644,0.18181818181818182,10.61629161223684,675,825,0,0.24296171963214874,0.35896044969558716,0.6019221544265747,0.0,0.9996597766876221,0.08634231984615326,2,2,0,1,0,0,0,0.5555555555555556,0.4444444444444444,1.0,multi_defect_pilot_gate_only,0.02009975124224178,near,825,large,yes
