candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,avg_polygon_area,invalid_count,out_of_image_count
deformable_quad_forward_screening_std,sample_std,val,area_bin,medium,0.5,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deformable_quad_forward_screening_mean,mean,val,area_bin,small,0.5,43,0.24229383213489283,0.37231339828013177,1.5117014092318966,1.2088398754943248,0.0,0.0,43.0,0.35516404620436737,-0.8970941788168719,0.023074672547587143,10.02211429282719,0.0,0.0
deformable_quad_forward_screening_std,sample_std,val,area_bin,small,0.5,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deformable_quad_forward_screening_mean,mean,val,defect_type,polygon,0.5,72,0.3084719434202885,0.45185606158857006,1.12157554513852,1.126917629295753,0.0,1.0,71.0,0.2910658635923432,-0.36124754012966154,0.023074672547587143,12.239855652866883,0.0,0.0
deformable_quad_forward_screening_std,sample_std,val,defect_type,polygon,0.5,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deformable_quad_forward_screening_mean,mean,val,defect_type,rotated_rect,0.5,57,0.43517122462083374,0.6003396255180588,0.5269765405253074,1.0425918968884569,0.0,1.0,56.0,0.2710043091588376,0.5085343096135851,0.023074672547587143,14.438551338843759,0.0,0.0
deformable_quad_forward_screening_std,sample_std,val,defect_type,rotated_rect,0.5,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deformable_quad_forward_screening_mean,mean,val,overall,all,0.5,129,0.3644553467414597,0.5174650782085768,0.8588457524024494,1.0896574219529942,0.0,2.0,127.0,0.28220145581939887,0.023074672547587105,0.023074672547587143,13.21137235132178,0.0,0.0
deformable_quad_forward_screening_std,sample_std,val,overall,all,0.5,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deformable_quad_forward_screening_mean,mean,val,signal_bin,low_signal,0.5,43,0.27836037956444437,0.41512570864346693,1.2888827028980019,1.136728590311006,0.0,1.0,42.0,0.3633305201696795,-0.5953966146900906,0.023074672547587143,9.613825873677435,0.0,0.0
deformable_quad_forward_screening_std,sample_std,val,signal_bin,low_signal,0.5,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deformable_quad_forward_screening_mean,mean,val,signal_bin,non_low_signal,0.5,86,0.4075028303299675,0.5686347629911316,0.6438272771546731,1.0661218377739885,0.0,1.0,85.0,0.24163692364425854,0.3323103161664259,0.023074672547587143,15.010145590143951,0.0,0.0
deformable_quad_forward_screening_std,sample_std,val,signal_bin,non_low_signal,0.5,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deformable_quad_forward_screening_mean,mean,val,area_bin,large,0.6,43,0.45891308340046894,0.6217817188920496,0.26518633999509883,1.0311183054433313,0.0,2.0,41.0,0.1895138490078754,0.8155084622974196,0.09099627267944659,15.896436232400939,0.0,0.0
deformable_quad_forward_screening_std,sample_std,val,area_bin,large,0.6,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deformable_quad_forward_screening_mean,mean,val,area_bin,medium,0.6,43,0.39208723453309513,0.557598686588238,0.7000083537320956,1.0317428772186124,0.0,0.0,43.0,0.3019264722459538,0.24967756738923752,0.09099627267944659,13.715566528737211,0.0,0.0
deformable_quad_forward_screening_std,sample_std,val,area_bin,medium,0.6,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deformable_quad_forward_screening_mean,mean,val,area_bin,small,0.6,43,0.24108122399456774,0.36996501990213637,1.4032434555450215,1.2123960495688195,0.0,0.0,43.0,0.35516404620436737,-0.7921972116483174,0.09099627267944659,10.02211429282719,0.0,0.0
deformable_quad_forward_screening_std,sample_std,val,area_bin,small,0.6,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
