model,selected,split,threshold,selection_score,sample_count,high_risk_count,bad_tail_count,catastrophic_failure_count,geometry_branch_failure_count,high_risk_precision,bad_tail_recall,catastrophic_failure_recall,geometry_branch_failure_recall,false_alarm_rate,coverage_retained,center_p95_reduction_mm,burial_p95_reduction_mm
logistic_regression_balanced,False,val,0.9743138107644645,7.328180797268515,60,9,23,2,1,1.0,0.391304347826087,0.5,1.0,0.0,0.85,1.1573871850967405,0.4075099170207974
logistic_regression_balanced,False,val,0.98991107,7.088125792858394,60,8,23,2,1,1.0,0.34782608695652173,0.5,1.0,0.0,0.8666666666666667,0.5029202461242681,0.4126264035701752
logistic_regression_balanced,False,val,0.99186694,7.088125792858394,60,8,23,2,1,1.0,0.34782608695652173,0.5,1.0,0.0,0.8666666666666667,0.5029202461242681,0.4126264035701752
logistic_regression_balanced,False,val,0.99668078,7.013361918991027,60,7,23,2,1,1.0,0.30434782608695654,0.5,1.0,0.0,0.8833333333333333,0.5096178293228153,0.41774289011955235
logistic_regression_balanced,False,val,0.9967754573291886,6.89235638619765,60,6,23,2,1,1.0,0.2608695652173913,0.5,1.0,0.0,0.9,0.5163154125213625,0.23789274096489121
logistic_regression_balanced,False,val,0.99762755,6.89235638619765,60,6,23,2,1,1.0,0.2608695652173913,0.5,1.0,0.0,0.9,0.5163154125213625,0.23789274096489121
logistic_regression_balanced,False,val,0.99781543,6.759234433135261,60,5,23,2,1,1.0,0.21739130434782608,0.5,1.0,0.0,0.9166666666666666,0.27777540683746427,0.2548144996166235
logistic_regression_balanced,False,val,0.9995299,0.5868073146628295,60,4,23,2,1,1.0,0.17391304347826086,0.0,0.0,0.0,0.9333333333333333,0.1385032415390013,0.015247756242751764
logistic_regression_balanced,False,val,0.9995355975366034,0.5127923820977628,60,3,23,2,1,1.0,0.13043478260869565,0.0,0.0,0.0,0.95,0.1527806520462045,0.015780180692672507
logistic_regression_balanced,False,val,0.99964382,0.5127923820977628,60,3,23,2,1,1.0,0.13043478260869565,0.0,0.0,0.0,0.95,0.1527806520462045,0.015780180692672507
logistic_regression_balanced,False,val,0.99996202,0.3950219361030537,60,2,23,2,1,1.0,0.08695652173913043,0.0,0.0,0.0,0.9666666666666667,-0.007963991165160778,0.01631260514259303
logistic_regression_balanced,False,val,0.99999999,0.31843314980683124,60,1,23,2,1,1.0,0.043478260869565216,0.0,0.0,0.0,0.9833333333333333,-0.003981995582580389,0.01684502959251377
ridge_classifier_balanced,False,val,0.05,8.058492229878901,60,60,23,2,1,0.38333333333333336,1.0,1.0,1.0,1.0,0.0,6.749954628944397,1.5840142905712125
ridge_classifier_balanced,False,val,0.1,8.058492229878901,60,60,23,2,1,0.38333333333333336,1.0,1.0,1.0,1.0,0.0,6.749954628944397,1.5840142905712125
ridge_classifier_balanced,False,val,0.15,8.058492229878901,60,60,23,2,1,0.38333333333333336,1.0,1.0,1.0,1.0,0.0,6.749954628944397,1.5840142905712125
ridge_classifier_balanced,False,val,0.2,8.058492229878901,60,60,23,2,1,0.38333333333333336,1.0,1.0,1.0,1.0,0.0,6.749954628944397,1.5840142905712125
ridge_classifier_balanced,False,val,0.20748895,8.058492229878901,60,60,23,2,1,0.38333333333333336,1.0,1.0,1.0,1.0,0.0,6.749954628944397,1.5840142905712125
ridge_classifier_balanced,False,val,0.23370763,7.836427367377924,60,59,23,2,1,0.3898305084745763,1.0,1.0,1.0,0.972972972972973,0.016666666666666666,5.5302485704421995,1.491136574745178
ridge_classifier_balanced,False,val,0.24699185613641358,7.953731657875499,60,58,23,2,1,0.39655172413793105,1.0,1.0,1.0,0.9459459459459459,0.03333333333333333,5.572321945428849,1.4939560374245044
ridge_classifier_balanced,False,val,0.24699186,8.142060309990837,60,56,23,2,1,0.4107142857142857,1.0,1.0,1.0,0.8918918918918919,0.06666666666666667,5.581401443481445,1.3895424991846081
ridge_classifier_balanced,False,val,0.25,8.142060309990837,60,56,23,2,1,0.4107142857142857,1.0,1.0,1.0,0.8918918918918919,0.06666666666666667,5.581401443481445,1.3895424991846081
ridge_classifier_balanced,False,val,0.25618909,8.142060309990837,60,56,23,2,1,0.4107142857142857,1.0,1.0,1.0,0.8918918918918919,0.06666666666666667,5.581401443481445,1.3895424991846081
ridge_classifier_balanced,False,val,0.26071629,8.349199032924464,60,54,23,2,1,0.42592592592592593,1.0,1.0,1.0,0.8378378378378378,0.1,5.561307686567306,1.3895424991846081
ridge_classifier_balanced,False,val,0.2637678168815694,8.349199032924464,60,54,23,2,1,0.42592592592592593,1.0,1.0,1.0,0.8378378378378378,0.1,5.561307686567306,1.3895424991846081
ridge_classifier_balanced,False,val,0.26410688,8.564467106699139,60,52,23,2,1,0.4423076923076923,1.0,1.0,1.0,0.7837837837837838,0.13333333333333333,5.573731333017349,1.3895424991846081
ridge_classifier_balanced,False,val,0.27353701,8.669404999005632,60,51,23,2,1,0.45098039215686275,1.0,1.0,1.0,0.7567567567567568,0.15,5.569158577919007,1.3895424991846081
ridge_classifier_balanced,False,val,0.27512829821646406,8.669404999005632,60,51,23,2,1,0.45098039215686275,1.0,1.0,1.0,0.7567567567567568,0.15,5.569158577919007,1.3895424991846081
ridge_classifier_balanced,False,val,0.27540911,8.669404999005632,60,51,23,2,1,0.45098039215686275,1.0,1.0,1.0,0.7567567567567568,0.15,5.569158577919007,1.3895424991846081
ridge_classifier_balanced,False,val,0.28776424,8.073764603047879,60,49,23,2,1,0.4489795918367347,0.9565217391304348,1.0,1.0,0.7297297297297297,0.18333333333333332,2.9406187415122984,1.3720659926533696
