seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,predicted_component_count_is_3,extra_fragment_flag,third_largest_component_area_ratio,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin
42,10,sample_011,train,rectangular_notch+rotated_rect+rotated_rect,0.4,0.5709090909090909,0.7268518518518519,0.13333333333333333,2.124410730830666,459,405,0,0.1056169718503952,0.28019994497299194,0.38581693172454834,0.0,1.0,0.05481109768152237,3,3,0,0,0,0,0,0.3572984749455338,0.33769063180827885,1.0,multi_defect_pilot_gate_only,1,0,0.30501089324618735,0.015984054554461453,near,405,small
42,11,sample_012,train,rotated_rect+rotated_rect+rotated_rect,0.4,0.6172106824925816,0.763302752293578,0.0570409982174688,5.423260760976326,529,561,0,0.10129322111606598,0.2384393811225891,0.3397325873374939,0.0,0.9999979734420776,0.06360149383544922,3,3,0,0,0,0,0,0.3950850661625709,0.32892249527410206,1.0,multi_defect_pilot_gate_only,1,0,0.27599243856332706,0.015984054554461453,near,561,large
42,12,sample_013,train,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.4442595673876872,0.6152073732718893,0.18090452261306533,3.1220864465785456,470,398,0,0.11074375361204147,0.397579550743103,0.5083233118057251,7.173342744989003e-29,0.9995973706245422,0.05507493019104004,3,3,0,0,0,0,0,0.34893617021276596,0.33617021276595743,1.0,multi_defect_pilot_gate_only,1,0,0.3148936170212766,0.017,medium,398,small
42,13,sample_014,train,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.26718547341115434,0.4216990788126919,0.04821802935010482,5.131619163535952,500,477,0,0.2154638171195984,0.588557243347168,0.8040210604667664,1.6233613391809235e-19,0.9958957433700562,0.05917927622795105,3,3,0,0,1,0,0,0.352,0.34,0.6666666666666666,multi_defect_pilot_gate_only,1,0,0.308,0.017,medium,477,medium
42,14,sample_015,train,rectangular_notch+rotated_rect+rotated_rect,0.4,0.5908419497784343,0.7428040854224698,0.009242144177449169,3.6838495608582074,536,541,0,0.10448230803012848,0.27795833349227905,0.38244062662124634,0.0,0.9999333620071411,0.06277858465909958,3,3,0,0,0,0,0,0.3414179104477612,0.3376865671641791,1.0,multi_defect_pilot_gate_only,1,0,0.3208955223880597,0.017,medium,541,large
42,15,sample_016,train,rotated_rect+rotated_rect+rotated_rect,0.4,0.6177924217462932,0.7637474541751528,0.16299559471365638,3.343139389168755,528,454,0,0.06522895395755768,0.2639450430870056,0.3291739821434021,7.978597376545227e-31,0.9991948008537292,0.0626727044582367,3,3,0,0,0,0,0,0.3446969696969697,0.3409090909090909,1.0,multi_defect_pilot_gate_only,1,0,0.3143939393939394,0.017,medium,454,medium
42,16,sample_017,train,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.7183908045977011,0.8361204013377926,0.029411764705882353,3.807277896980771,455,442,0,0.06002499908208847,0.17454296350479126,0.23456797003746033,0.0,0.9999997615814209,0.05430179461836815,3,3,0,0,0,0,0,0.34725274725274724,0.34505494505494505,1.0,multi_defect_pilot_gate_only,1,0,0.3076923076923077,0.01714322023425004,medium,442,small
42,17,sample_018,train,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.6370967741935484,0.7783251231527094,0.03406813627254509,1.8257932696522055,516,499,0,0.06897494196891785,0.2526091933250427,0.32158413529396057,1.5209609453873705e-37,0.9997968077659607,0.060216061770915985,3,3,0,0,0,0,0,0.3817829457364341,0.313953488372093,1.0,multi_defect_pilot_gate_only,1,0,0.30426356589147285,0.01714322023425004,medium,499,large
42,18,sample_019,train,rectangular_notch+rotated_rect+rotated_rect,0.4,0.771255060728745,0.8708571428571429,0.002288329519450801,2.0505823878905693,438,437,0,0.05629519745707512,0.140017569065094,0.1963127702474594,0.0,1.0,0.05285286158323288,3,3,0,0,0,0,0,0.3607305936073059,0.3333333333333333,1.0,multi_defect_pilot_gate_only,1,0,0.3059360730593607,0.01714322023425004,medium,437,small
42,19,sample_020,train,rotated_rect+rotated_rect+rotated_rect,0.4,0.5285714285714286,0.6915887850467289,0.05454545454545454,1.8930034895954977,468,495,0,0.1271643042564392,0.3173787593841553,0.4445430636405945,0.0,0.9999980926513672,0.0560210756957531,3,3,0,0,0,0,0,0.3717948717948718,0.31837606837606836,1.0,multi_defect_pilot_gate_only,1,0,0.30982905982905984,0.01714322023425004,medium,495,large
