model,selected_model,split,subset,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_accuracy,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,burial_depth_level,shallow,11,0.5995263457298279,1.2161378860473633,1.4661922454833984,0.07968293130397797,1.1404446363449097,1.9151126146316528,0.36363636363636365,0.25,3,2
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,size_level,large,12,0.45684438943862915,0.8955798149108887,1.2014647722244263,0.10432659834623337,0.6018708944320679,1.4906550645828247,0.5833333333333334,0.4222222222222222,1,1
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,size_level,medium,8,0.5541412234306335,1.2831569910049438,1.2250832319259644,0.050518546253442764,1.1364727020263672,1.9933451414108276,0.5,0.3571428571428572,2,1
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,aspect_bin,compact,17,0.47996199131011963,0.9871192574501038,1.196927547454834,0.084538534283638,0.7565099596977234,1.6987918615341187,0.5882352941176471,0.4305555555555555,2,2
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,aspect_bin,elongated_x,2,0.5936881899833679,1.609519362449646,1.8442212343215942,0.057628028094768524,0.9912863373756409,1.744825005531311,0.5,0.2222222222222222,1,0
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,aspect_bin,elongated_y,1,0.5685315728187561,1.01214599609375,0.18203304708003998,0.10365632176399231,1.4709906578063965,1.4655095338821411,0.0,0.0,0,0
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,row_origin,hardcase_topup_v1,20,0.49576306343078613,1.0506106615066528,1.2109121084213257,0.0828033834695816,0.8157115578651428,1.6917309761047363,0.55,0.39571150097465885,3,2
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,hardcase_target_id,target_05_compact_medium_large,12,0.36425986886024475,0.8168571591377258,0.7925351858139038,0.08095550537109375,0.451643168926239,1.3845643997192383,0.75,0.5202020202020202,0,0
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,hardcase_target_id,target_06_shallow_edge,8,0.6930178999900818,1.4012409448623657,1.8384777307510376,0.08557518571615219,1.361814260482788,2.1524808406829834,0.25,0.1904761904761905,3,2
H2_B2_hardcase_tail_weighted,True,test,all,shape_type,internal_cuboid,22,0.43049126863479614,0.7724443674087524,0.9673431515693665,0.07938658446073532,0.5185331702232361,1.941909670829773,0.7272727272727273,0.28070175438596495,3,0
H2_B2_hardcase_tail_weighted,True,test,all,shape_type,internal_ellipsoid,20,0.5623080730438232,1.2233452796936035,1.6055736541748047,0.09287243336439133,0.8209075927734375,1.8772474527359009,0.75,0.2857142857142857,5,1
H2_B2_hardcase_tail_weighted,True,test,all,shape_type,internal_sphere,18,0.25499826669692993,0.3369970917701721,0.49412158131599426,0.06528043001890182,0.22532327473163605,1.2382456064224243,0.8333333333333334,0.30303030303030304,1,1
H2_B2_hardcase_tail_weighted,True,test,all,burial_depth_level,deep,12,0.41373199224472046,0.9534093737602234,1.2588574886322021,0.0816197469830513,0.3363049328327179,1.6929199695587158,1.0,1.0,1,0
H2_B2_hardcase_tail_weighted,True,test,all,burial_depth_level,deep_plus,22,0.5175954699516296,0.8103100657463074,1.0933321714401245,0.07615330070257187,0.8286042213439941,2.3038501739501953,0.6818181818181818,0.6686909581646424,7,2
