model,sample_index,source_index,area_bin,defect_type,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,pred_area_lt_true,pred_area_gt_true,pred_center_x,pred_center_y,true_center_x,true_center_y,source_true_area_pixels
CURRENT_BASELINE,93,793,large,multi_defect,25390.125,63.38584899902344,0.4729637234770705,0.6421933085501859,0.22001654259718775,0.17458195984363556,14.359696524297803,18.410257792021255,False,True,False,0.08480898290872574,4.908897876739502,0.11602677404880524,5.0806660652160645,1209
CURRENT_BASELINE,94,743,large,polygon,22276.634765625,43.728782653808594,0.37410071942446044,0.5445026178010471,0.48412698412698413,0.6528404951095581,6.928591642158537,13.430808414030395,False,True,False,-3.478104591369629,4.876457214355469,-3.261887550354004,5.492453098297119,882
CURRENT_BASELINE,95,112,large,multi_defect,44827.7890625,103.18335723876953,0.4847328244274809,0.6529562982005142,0.0752102919346858,0.9765241742134094,28.460522591635836,30.775129030334952,False,True,False,1.3176233768463135,5.041047096252441,1.5117523670196533,5.998080730438232,2021
CURRENT_BASELINE,96,998,large,polygon,30306.109375,51.316650390625,0.1980802792321117,0.3306627822286963,0.5409139213602551,1.7213139533996582,6.578355141565908,14.329241176420183,False,True,False,-5.593243598937988,5.025954246520996,-5.603762626647949,3.3046724796295166,941
CURRENT_BASELINE,97,50,large,rotated_rect,12283.853515625,38.78312683105469,0.798582995951417,0.8880135059088351,0.045104510451045104,0.2673323154449463,13.217620978887055,13.841955610378264,False,True,False,4.362307071685791,5.1269612312316895,4.434632301330566,4.869598388671875,909
CURRENT_BASELINE,98,262,large,multi_defect,35006.56640625,71.39755249023438,0.34668508287292815,0.5148717948717949,0.07312252964426877,1.4502363204956055,14.283558154603753,15.410406026075691,False,True,False,-2.1732327938079834,4.947017669677734,-1.6690170764923096,3.5872559547424316,1012
CURRENT_BASELINE,99,492,large,polygon,29235.60546875,53.393287658691406,0.2959016393442623,0.4566729917773561,0.38178096212896623,1.503607988357544,9.197515059041223,14.877437438217342,False,True,False,-2.978634834289551,4.863202095031738,-3.891592025756836,6.057918071746826,977
overfit100_model,0,753,small,rotated_rect,4073.209228515625,13.496631622314453,0.8115631691648822,0.8959810874704491,0.01909307875894988,0.08512409031391144,6.502216771871858,6.380395380361378,False,False,True,7.98800802230835,3.2036995887756348,7.910255432128906,3.2383499145507812,419
overfit100_model,1,499,small,polygon,5194.630859375,11.568603515625,0.577259475218659,0.7319778188539742,0.3624454148471616,0.20340217649936676,4.751034268908711,3.4871373319874834,False,False,True,5.556629180908203,3.6340973377227783,5.723047733306885,3.751047372817993,229
overfit100_model,2,673,small,polygon,3262.9775390625,9.832504272460938,0.7522658610271903,0.8586206896551725,0.04054054054054054,0.1820105016231537,4.324659398622032,4.5073914858877515,False,True,False,7.679417610168457,7.088846206665039,7.860077857971191,7.11097526550293,296
