sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
176,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,253160.640625,491.1584167480469
177,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,203221.203125,442.2235107421875
178,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,252304.25,493.7393493652344
179,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,272891.40625,510.7864990234375
180,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,207906.578125,444.16717529296875
181,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,243018.75,483.20013427734375
182,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,255330.9375,484.7146911621094
183,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,210390.390625,451.85888671875
184,per_sample_zscore,concat,mlp,none,direct,1.0,13,13,235380.65625,467.9450988769531
185,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,181799.28125,412.3533630371094
186,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,274605.9375,510.7654113769531
187,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,249245.390625,488.6256103515625
188,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,230618.953125,465.7027893066406
189,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,299845.59375,537.4608764648438
190,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,154705.875,374.42138671875
191,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,305686.1875,533.0698852539062
192,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,235935.859375,472.77984619140625
193,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,255073.359375,497.0574645996094
194,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,192066.734375,426.73773193359375
195,per_sample_zscore,concat,mlp,none,direct,1.0,14,14,199670.671875,439.8351745605469
196,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,197665.78125,421.96630859375
197,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,384303.84375,605.2769165039062
198,per_sample_zscore,concat,mlp,none,direct,0.0,0,3,259561.296875,501.1060485839844
199,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,290797.96875,520.6187133789062
200,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,177874.140625,401.17889404296875
201,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,354260.875,589.736328125
202,per_sample_zscore,concat,mlp,none,direct,1.0,2,2,229817.921875,464.7269287109375
203,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,182642.65625,418.7107238769531
204,per_sample_zscore,concat,mlp,none,direct,1.0,15,15,236300.75,472.756591796875
205,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,223056.59375,459.6476745605469
206,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,331319.0625,567.412841796875
207,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,259344.03125,502.84490966796875
208,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,160672.171875,387.0067138671875
209,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,272201.78125,511.0256652832031
210,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,233250.234375,467.52752685546875
211,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,274973.40625,509.56109619140625
212,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,215325.453125,450.3106994628906
213,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,266819.71875,503.3907775878906
214,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,214329.359375,454.56646728515625
215,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,150747.859375,378.1656494140625
216,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,228158.09375,465.89312744140625
217,per_sample_zscore,concat,mlp,none,direct,0.8181818181818182,9,11,281603.96875,516.5016479492188
218,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,175334.421875,408.9143371582031
219,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,204276.53125,446.08489990234375
220,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,235572.59375,473.2092590332031
221,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,240760.9375,486.4861755371094
222,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,256451.75,499.8394470214844
223,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,249642.859375,485.2663879394531
224,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,202078.234375,437.4859619140625
225,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,245649.796875,489.3199768066406
226,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,257941.75,493.22491455078125
227,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,316612.4375,554.1228637695312
228,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,194453.828125,432.70989990234375
229,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,230267.390625,458.7674255371094
230,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,282759.0,528.1314086914062
231,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,280333.28125,520.1021118164062
232,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,211639.28125,440.8147888183594
233,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,243680.3125,473.9123229980469
234,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,236054.28125,472.7903137207031
235,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,270079.4375,510.14288330078125
236,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,232352.09375,473.4770202636719
237,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,294997.5625,534.78125
238,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,248374.28125,484.8860778808594
239,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,224604.03125,461.3778076171875
240,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,171048.96875,401.99163818359375
241,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,244667.28125,483.6533203125
242,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,222600.078125,464.16265869140625
243,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,266620.40625,498.0065002441406
244,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,267231.90625,501.0920104980469
245,per_sample_zscore,concat,mlp,none,direct,0.8,4,5,242335.328125,483.9546813964844
246,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,200149.203125,435.8214416503906
247,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,164434.4375,390.71588134765625
248,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,241076.671875,483.5105285644531
249,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,294728.1875,531.9060668945312
250,per_sample_zscore,concat,mlp,none,direct,1.0,15,15,214415.75,452.25689697265625
251,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,248605.9375,478.9494934082031
252,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,297359.125,537.2816162109375
253,per_sample_zscore,concat,mlp,none,direct,1.0,16,16,274253.15625,510.0823669433594
254,per_sample_zscore,concat,mlp,none,direct,1.0,14,14,206693.359375,448.7139892578125
255,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,241148.234375,478.1282043457031
256,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,219674.75,456.2516174316406
257,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,225807.234375,464.4774169921875
258,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,183327.203125,409.6531677246094
259,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,274582.75,505.9815979003906
260,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,223439.171875,464.6812438964844
261,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,255149.671875,495.0981140136719
262,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,188334.609375,423.5458068847656
263,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,252087.515625,492.1472473144531
264,per_sample_zscore,concat,mlp,none,direct,0.75,3,4,257991.796875,496.7113037109375
265,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,253685.453125,493.07476806640625
266,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,186423.59375,419.2356872558594
267,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,177242.875,406.7680358886719
268,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,170156.796875,400.7889404296875
269,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,279613.3125,518.4033813476562
270,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,217265.15625,454.6580810546875
271,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,240034.578125,483.9598388671875
272,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,215892.078125,454.8161926269531
273,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,245748.140625,487.8719787597656
274,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,216224.9375,456.4185485839844
275,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,273564.65625,508.3096618652344
276,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,193946.609375,422.66998291015625
277,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,224505.75,450.0653076171875
278,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,269857.96875,513.0339965820312
279,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,181825.796875,411.6900329589844
280,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,213849.75,443.87261962890625
281,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,157683.984375,383.3137512207031
282,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,280624.875,520.662109375
283,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,274617.78125,515.462890625
284,per_sample_zscore,concat,mlp,none,direct,1.0,14,14,265587.875,509.6596374511719
285,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,233326.390625,472.7931213378906
286,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,318418.625,553.02294921875
287,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,221266.390625,450.84136962890625
288,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,207279.15625,441.79608154296875
289,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,258887.4375,495.1203308105469
